2023-9-22 01:09:52-log: Cannot access game frame or container.
2023-9-22 01:09:52-debug: asset-db:require-engine-code (690ms)
2023-9-22 01:09:52-log: Cocos Creator v3.8.1
2023-9-22 01:09:53-debug: [Assets Memory track]: asset-db-plugin-register: live2d_cubismsdk_cocoscreator start:94.83MB, end 98.44MB, increase: 3.61MB
2023-9-22 01:09:53-debug: [Assets Memory track]: asset-db-plugin-enable: project start:95.44MB, end 98.44MB, increase: 3.01MB
2023-9-22 01:09:53-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:92.67MB, end 98.45MB, increase: 5.78MB
2023-9-22 01:09:52-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:19.78MB, end 92.66MB, increase: 72.88MB
2023-9-22 01:09:53-debug: [Assets Memory track]: asset-db-plugin-register: programming start:93.31MB, end 94.63MB, increase: 1.32MB
2023-9-22 01:09:53-debug: [Assets Memory track]: asset-db-plugin-register: engine-extends start:94.68MB, end 98.44MB, increase: 3.76MB
2023-9-22 01:09:53-debug: asset-db:worker-init: initPlugin (93ms)
2023-9-22 01:09:53-debug: [Assets Memory track]: asset-db:worker-init start:19.78MB, end 98.50MB, increase: 78.73MB
2023-9-22 01:09:53-debug: Run asset db hook engine-extends:beforePreStart ...
2023-9-22 01:09:53-debug: Run asset db hook engine-extends:beforePreStart success!
2023-9-22 01:09:53-debug: Run asset db hook programming:beforePreStart ...
2023-9-22 01:09:53-debug: Run asset db hook programming:beforePreStart success!
2023-9-22 01:09:53-debug: asset-db:worker-init (1507ms)
2023-9-22 01:09:53-debug: asset-db-hook-programming-beforePreStart (472ms)
2023-9-22 01:09:53-debug: asset-db-hook-engine-extends-beforePreStart (472ms)
2023-9-22 01:09:53-debug: Preimport db internal success
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/hijikiruntimebackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/scriptsbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/materialbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/scenebackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/modelbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/skyboxbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/hijikiruntime/motionbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/scripts/test.tsbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/model/helloWorld/grassbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/assets/model/helloWorldbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: Preimport db assets success
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/extensions/live2d_cubismsdk_cocoscreator/static/assets/Renderingbackground: #aaff85; color: #000;color: #000;
2023-9-22 01:09:53-debug: %cImport%c: /Users/sunjia/project/cocos-test/cocos-demo/extensions/live2d_cubismsdk_cocoscreator/static/assets/Corebackground: #aaff85; color: #000;color: #000;
